Column1,Column2
"Sandakan to Fakhar Zaman, 1 run, dropped! It was a tough chance but you expect to take these at this level. Flighted outside off, Zaman reaches out to play the drive and the outside edge goes to the right of slip, the centurion sticks his right hand out and the ball does not stick. This would have turned the game on its head as it was a well-set Zaman who would have been sent back",30.1
"Pradeep to Fakhar Zaman, 1 run, uses the away going angle and steers the good length delivery to third man",29.6
"Pradeep to Fakhar Zaman, no run, good length ball on leg-stump, Zaman defends it down the wicket",29.5
"Pradeep to Fakhar Zaman, no run, that's an ugly shot from Zaman, especially having lost Azam. Slanted across him and it was not short enough to play the pull/heave, he still goes for it and is beaten on the under-edge. Sarfaraz quickly walks up to have a word",29.4
"Pradeep to Sarfaraz, 1 run, angled in on middle and leg, Sarfaraz works it into the vacant mid-wicket region",29.3
"Pradeep to Sarfaraz, no run, oh! Pradeep almost had another. Good length ball in the channel around off-stump, Sarfaraz plays the wrong line and is beaten on the outside edge, the ball held its line and hence the Pakistan skipper was defeated",29.2
"Pradeep to Babar Azam, out Lbw!! You gotta feel for umpire Joel Wilson. This was a 50-50 call because of the height but ball-tracking showed it to be hitting the top of middle. Anyway, it is another wrong decision that goes against his name. The nip-backer from Pradeep and Azam is not fully forward to deal with it, struck just above the kneeroll and height was always the question. Ball-tracking had three reds and Sri Lanka get their second successfull review. Babar Azam lbw b Pradeep 31(26) [4s-2]",29.1
"Sandakan to Fakhar Zaman, no run, wrong 'un and Zaman stays back to knock it to mid-wicket",28.6
"Sandakan to Babar Azam, 1 run, drifting in on leg-stump, Azam works it away to deep square leg",28.5
"Sandakan to Fakhar Zaman, 1 run, floated up outside off, Zaman drives uppishly but wide of cover",28.4
"Sandakan to Babar Azam, 1 run, another drag down and this time Azam does not have the bounce to play the pull, mistimed to long-on",28.3
"Sandakan to Babar Azam, 2 runs, half tracker and Azam thumps the cut in front of square, Pradeep runs across from sweeper cover and dives to make the stop, he saved a couple of runs there",28.2
"Sandakan to Babar Azam, no run, flatter delivery around off, Azam punches it towards mid-wicket",28.1
"Lahiru Kumara to Fakhar Zaman, 2 runs, slower delivery outside off, Zaman punches it wide of sweeper cover and scampers back for the second",27.6
"Lahiru Kumara to Babar Azam, 1 run, short of length around off, Azam steers it away to third man",27.5
"Lahiru Kumara to Babar Azam, FOUR, lovely shot! Overpitched and Azam ensures that it is put away. He got a big stride forward and creams the drive through the extra cover. And he just stood there and admired his work",27.4
"Lahiru Kumara to Fakhar Zaman, 1 run, short of length and Zaman pulls it along the ground to deep mid-wicket",27.3
"Lahiru Kumara to Fakhar Zaman, no run, off-speed outside off, Zaman slashes and misses, undone by lack of pace",27.2
"Lahiru Kumara to Fakhar Zaman, no run, back of a length on off, Zaman drops it near his feet and wants a single, sent back rightly",27.1
"Sandakan to Fakhar Zaman, 1 run, drifting on the pads and Zaman tucks it towards square leg",26.6
"Sandakan to Babar Azam, 1 run, spinning into the pads and Azam nurdles it backward of square leg",26.5
"Sandakan to Fakhar Zaman, 1 run, goes for the big slog sweep and ends up dragging it towards backward square leg",26.4
"Sandakan to Fakhar Zaman, no run, tossed up on off and middle, Zaman blocks it down the wicket",26.3
"Sandakan to Fakhar Zaman, no run, slower and turning away, Zaman looks to cut and is beaten on the outside edge",26.2
"Sandakan to Babar Azam, 5 runs, four runs gifted away. Azam comes down the track and isn't to the pitch, works it towards mid-wicket and there was a bit of hesitation, the throw goes to Zaman's end but it was a wild one - giving no chance for the backward point fielder to cover up",26.1
"Lahiru Kumara to Babar Azam, 1 run, good length ball and Azam dabs it late to third man",25.6
"Lahiru Kumara to Fakhar Zaman, 1 run, fired at the pads at 141.7kph and Zaman tucks it to fine leg",25.5
"Lahiru Kumara to Babar Azam, 1 run, short and down leg, Azam helps it along the way to fine leg",25.4
"Lahiru Kumara to Fakhar Zaman, 1 run, now the change of pace to which Zaman waits and steers to third man",25.3
"Lahiru Kumara to Fakhar Zaman, byes, 2 runs, pacy bouncer and Zaman decides to take it on, easily beaten for pace and the ball flies over the top-edge, Bhanuka jumps up and gets some glove on it",25.2
"Lahiru Kumara to Babar Azam, 1 run, short and outside off, Azam slashes hard and sends it to third man",25.1
"Sandakan to Babar Azam, 1 run, short and outside off, Azam cracks the cut square and the sweeper tidies up",24.6
"Sandakan to Fakhar Zaman, 3 runs, wrong 'un and Zaman allowed it to spin in, opened the bat face and steered it past the slip fielder. Jayasuriya gives chase from backward point and saves a run for the team",24.5
