Column1,Column2
"Chahal to de Grandhomme, no run, almost bowled! CDG had no clue about this ball spinning back into him, lunged forward in his defence, ball beat the edge this time and almost shaved the off stump",28.6
"Chahal to Neesham, 1 run, very full and outside off stump, Neesham drives it to long-off",28.5
"Chahal to de Grandhomme, 1 run, oh almost through the gate with this googly, lucky edge rolls into the on-side",28.4
"Chahal to Latham, out Lbw!! That looks plumb. So this is what Dhoni wanted Chahal to do consistently, bowl fuller and make him play the front foot shots. This time Latham got across the line to play the sweep shot, missed it completely and the ball landed in line with leg stump and luckily for Chahal didn't turn as much to miss the leg stump. Latham discussed with Neesham about the review and I reckon it was a good call not to review. That would not be umpire's call. So India have got both the set batsmen! Latham lbw b Chahal 37(49) [4s-3]",28.3
"Chahal to Latham, no run, another short ball, Latham punches it to the left of the bowler",28.2
"Chahal to Latham, no run, leg stump line, should have been four, but this is swept straight to short fine leg",28.1
"Kedar Jadhav to Neesham, FOUR, Kedar tries the yorker again, but misses the mark, lands in the slot for Neesham to slog and he almost flicked that over deep mid-wicket",27.6
"Kedar Jadhav to Neesham, no run, defended",27.5
"Kedar Jadhav to Neesham, no run, now the 93kph yorker fired in, Neesham manages to dig it out",27.4
"Kedar Jadhav to Neesham, 2 runs, another really slow ball, Neesham cuts it to sweeper cover",27.3
"Kedar Jadhav to Latham, 1 run, slow and teasing at 68kph, you got to be kidding me, Latham waits and slaps it hard to long-off",27.2
"Kedar Jadhav to Neesham, 1 run, that is a flighted delivery wide outside off stump, Neesham sweeps to deep mid-wicket",27.1
"Chahal to Latham, FOUR, ""Aage se marne do isko (Make him play off the front foot),"" shouted Dhoni after the fourth ball, but Chahal drops this short and wide, a happy Latham cuts behind backward point and picks up a boundary",26.6
"Chahal to Latham, no run, googly and Latham didn't pick it up, read this off the pitch and got a leading edge on the defence",26.5
"Chahal to Neesham, 1 run, flighted delivery outside off stump, Neesham drives it to long-off",26.4
"Chahal to Neesham, no run, pushed off the front foot",26.3
"Chahal to Neesham, no run, defended",26.2
"Chahal to Neesham, no run, lovely slider from Chahal, Neesham was playing for turn, tried to defend, the ball went past the outside edge, the back foot was on the line, but he managed to just drag it back and land it inside the crease before the bails came off",26.1
"Kedar Jadhav to Neesham, 1 run, on the leg stump, glanced to backward square leg",25.6
"Kedar Jadhav to Neesham, no run, flighted delivery on the stumps, Neesham defends",25.5
"Kedar Jadhav to Williamson, out Caught by Dhawan!! How many times has Kedar Jadhav broken a big stand? He's showing his dance moves and look at MSD, celebrating with his arms pointing up. Was there a plan? Couldn't pick up much from the stump mics. So with his seriously teasing and irritating slingly bowling action to batsmen, Kedar tempts Williamson with a short ball, the New Zealand skipper wanted to power this pull shot over the rope, but no pace was offered on the ball by the bowler, so in trying to generate some he holed out at deep mid-wicket. Williamson c Dhawan b Kedar Jadhav 39(73) [4s-3]",25.4
"Kedar Jadhav to Williamson, no run, now he bowls the next ball slower through the air and a bit round-armish as well, Williamson cuts it into the off-side",25.3
"Kedar Jadhav to Williamson, no run, the yorker pushed through at 93kph, Williamson just digs it out",25.2
"Kedar Jadhav to Latham, 1 run, flighted delivery on the stumps, Latham drives it gently to long-on after using the feet",25.1
"Chahal to Williamson, no run, flatter and on the stumps, defended straight back to the bowler",24.6
"Chahal to Williamson, no run, spins away and takes the outside edge but Williamson played with soft hands, so it rolls along the ground to short third man",24.5
"Chahal to Latham, 1 run, nicely swept away as Chahal gives this a lot of air, hit to deep backward square leg",24.4
"Chahal to Williamson, 1 run, fullish and outside off stump, Williamson drives it to long-off",24.3
"Chahal to Latham, 1 run, short and on the stumps, flicked to deep backward square leg",24.2
"Chahal to Williamson, 1 run, flighted delivery on the stumps, knocked down to long-on",24.1
"Kedar Jadhav to Williamson, 1 run, pushed to long-off and New Zealand raise their hundred, that wakes up the crowd at the Cake Tin",23.6
"Kedar Jadhav to Latham, 1 run, shortish delivery, Latham turns it to deep square leg",23.5
"Kedar Jadhav to Williamson, 1 run, gently driven along the carpet to long-on",23.4
"Kedar Jadhav to Williamson, no run, oh slower through the air and Williamson chips a return catch almost, Kedar dives to his right and stops the ball",23.3
"Kedar Jadhav to Williamson, no run, stays leg-side to cut this flat delivery, but can't get it past cover-point",23.2
"Kedar Jadhav to Latham, 1 run, flighted delivery on the stumps, Latham steps out and flicks along the ground to deep backward square leg",23.1
"Chahal to Latham, 1 run, flighted delivery down the leg-side, Latham sweeps it to deep backward square leg",22.6
"Chahal to Williamson, 1 run, flicked away nicely to long-on",22.5
"Chahal to Williamson, no run, flighted delivery on the stumps, Williamson defends off the front foot",22.4
"Chahal to Latham, 1 run, flighted delivery on the stumps, Latham flicks it to deep mid-wicket",22.3
"Chahal to Williamson, 1 run, driven down to long-on",22.2
"Chahal to Latham, 1 run, worked it away to backward square leg",22.1
"Kedar Jadhav to Williamson, 2 runs, floated up on middle and leg, wristed away past the diving mid-wicket fielder. Well wide of the man in the deep and they get two",21.6
"Kedar Jadhav to Latham, 1 run, use of the feet this time by Latham as he punches it past the diving mid-wicket fielder who can't get a hand on it. Down to long-on",21.5
"Kedar Jadhav to Williamson, 1 run, tries to get too ambitious with the away curler and spills it down leg, swept away down to fine leg",21.4
"Kedar Jadhav to Williamson, no run, floated up around middle and off, defended softly towards cover",21.3
"Kedar Jadhav to Latham, 1 run, round-armish on a good length, Latham waitd and punched it to sweeper cover",21.2
"Kedar Jadhav to Williamson, 1 run, very full and outside off, drilled hard off the front foot but Hardik does well at extra cover to get a hand on it. Deflects it down to long-off",21.1
"Chahal to Latham, no run, slightly short and wider outside off, stabbed off the back foot towards mid-wicket",20.6
"Chahal to Latham, 2 runs, drifting in on the pads, Latham gets across a bit and flicks it away through backward square leg. Easy two",20.5
"Chahal to Latham, no run, tossed up leg break, worked softly off the front foot to mid-wicket",20.4
"Chahal to Williamson, 1 run, slows it down around off, no room as Williamson punches this to cover. Brisk single",20.3
"Chahal to Williamson, no run, very full and around middle, pushed firmly back to the bowler",20.2
"Chahal to Latham, 1 run, slips it around leg stump, worked away off the back foot to deep square leg",20.1
