Column1,Column2
"Lyon to Kohli, SIX, advances and lofts Nathan Lyon into the sightscreen. It was full and straight and Kohli had his plans ready, superb timing too!",36.1
"Stoinis to Dhoni, 2 runs, punches firmly past the diving left hand of short cover and gets back for the second",35.6
"Stoinis to Dhoni, no run, fuller and wider of off, Dhoni opens the face and drives to cover-point",35.5
"Stoinis to Kohli, 1 run, lets the ball leap up onto the willow, taps with soft hands into the leg-side and pinches a quick single",35.4
"Stoinis to Kohli, no run, drops this into the off-side and thinks of a quick single, wasn't to be",35.3
"Stoinis to Kohli, no run, slower ball on leg stump, Kohli misses the flick and is pinged high on the pad. Sliding down...",35.2
"Stoinis to Kohli, leg byes, 2 runs, looks to tickle fine, but it goes off the thigh pad to the right of short fine",35.1
"Lyon to Dhoni, no run, looks to force a punch and mistimes it to short cover",34.6
"Lyon to Dhoni, no run, advances and drives this back to the bowler",34.5
"Lyon to Kohli, 1 run, tucked away behind square on the leg-side",34.4
"Lyon to Kohli, FOUR, Kohli knows there's width on this and he smartly opened the face to send an educated edge fine past the keeper, Siddle gives chase from short third but Lyon's pace on the delivery took care of the rest",34.3
"Lyon to Dhoni, 1 run, stays side-on and punches a single to deep cover",34.2
"Lyon to Kohli, 1 run, full on the stumps, Kohli biffs the drive to long-on",34.1
"Behrendorff to Kohli, 1 run, powered away to deep cover and Kohli will keep the strike",33.6
"Behrendorff to Kohli, SIX, that is Virat Kohli T20 mode on! Doesn't generally get into that zone, but once he gets there its diffcult to unsettle him. Second guesses Behrendorff and belts this length ball from the crease over long-on. Sheer timing and power",33.5
"Behrendorff to Kohli, no run, good length on middle and leg, nudged into the leg-side",33.4
"Behrendorff to Kohli, FOUR, can't be erring to Kohli by that margin. Short and wide, Kohli's quick to transfer the weight on the back foot and he spanks it in the gap wide of extra cover. No stopping that",33.3
"Behrendorff to Kohli, 2 runs, gets the perfect length to cream a punch through extra cover, gets the second in a canter",33.2
"Behrendorff to Dhoni, 1 run, shuffles outside his off-stump and clips the fullish delivery to the right of deep square",33.1
"Maxwell to Dhoni, 1 run, opens the face and wrists the drive into the off-side for an easy single",32.6
"Maxwell to Dhoni, no run, full on off, pushed back to the bowler",32.5
"Maxwell to Dhoni, no run, darted in on leg stump, Dhoni flicks but can't get it past square leg",32.4
"Maxwell to Dhoni, no run, seeks to flick and chips a soft leading edge in front of mid-wicket",32.3
"Maxwell to Dhoni, no run, swivels on the short ball and drags the pull straight to Finch at square leg",32.2
"Maxwell to Dhoni, no run, tossed up on the stumps, Dhoni strides forward and blocks to mid-wicket",32.1
"Behrendorff to Dhoni, 1 run, hops inside the crease and tucks this off the ribcage towards fine leg",31.6
"Behrendorff to Dhoni, no run, looks to defend and inside-edges the length delivery back onto pad",31.5
"Behrendorff to Dhoni, no run, back of a length shaping in towards off, tapped back to the bowler",31.4
"Behrendorff to Dhoni, 2 runs, brilliant late cut from MS and he gets it in the gap behind point, Richardson pulls off a dive near the ropes and keeps it down to two",31.3
"Behrendorff to Kohli, 1 run, back of a length wide of off-stump, Kohli uses the width to glide a single to third man",31.2
"Behrendorff to Kohli, no run, short and skids across off, Kohli chips forward and drops it dead near his feet",31.1
"Maxwell to Kohli, 1 run, is quick to rock back and pull the quicker delivery to deep mid-wicket",30.6
"Maxwell to Kohli, no run, drifts in with the arm, Kohli goes back and tucks to mid-wicket",30.5
"Maxwell to Rayudu, out Caught by Stoinis!! Rayudu's scratchy innings coes to an end. Was getting restless with a lot of mistimed shots and he had to try something out of the box; decides to use his feet and swipes over mid-wicket, hasn't gotten anywhere near the middle of the bat and Stoinis takes a dolly of a catch running in from deep mid-wicket. Rayudu c Stoinis b Maxwell 24(36) [4s-2]",30.4
"Maxwell to Kohli, 1 run, full on the stumps, Kohli whip-drives wide of long-on",30.3
"Maxwell to Kohli, 2 runs, tucked away off the pads to fine leg",30.2
"Maxwell to Kohli, 2 runs, deft from VK! Waits deep inside the crease and plays the late cut at the last possible instant to buy a couple of runs fine of third man. 49th ODI fifty for the Indian skipper. Zero celebrations...",30.1
"J Richardson to Kohli, 1 run, keeps the strike with a steer down to third man",29.6
"J Richardson to Rayudu, 1 run, slower ball outside off, Rayudu opens the face and guides late to the left of backward point",29.5
"J Richardson to Rayudu, 2 runs, shimmies down the track and goes for the flat-bat loft, he knew mid-off was in and hence took the risk. Not well timed, but good enough to get it over the backtracking fielder",29.4
"J Richardson to Rayudu, no run, no room on this, Rayudu sits back and punches it back to the bowler",29.3
"J Richardson to Rayudu, 2 runs, jumps down the track, loses his shape trying to carve one over cover, manages to get it over the infield and complete an easy two",29.2
"J Richardson to Rayudu, no run, length delivery closing in on off, Rayudu gets across and dinks it back to the bowler",29.1
"Maxwell to Kohli, no run, gets enticed by the line (down leg) and attempts a flashy sweep, the ball dips much later and pings Kohli on the forearm",28.6
"Maxwell to Rayudu, 1 run, skiddy short delivery on leg-stump, Rayudu swivels and pulls to deep square",28.5
"Maxwell to Rayudu, no run, slider outside off, Rayudu goes hard on the cut and stabs it into the off-side",28.4
"Maxwell to Kohli, 1 run, quicker delivery outside off, Kohli pulls it past the diving right hand of Finch at short mid-wicket",28.3
"Maxwell to Rayudu, 1 run, brooms the full delivery from off to deep backward square",28.2
"Maxwell to Kohli, 1 run, roundarm full delivery on off, Kohli whips to deep mid-wicket and calls for two straightaway. Just as Rayudu was about to storm in, Kohli puts his hand up and decides against the risky second",28.1
"J Richardson to Kohli, 1 run, 140ks plenty of width on this, Kohli stands tall and powers it away through cover for a single",27.6
"J Richardson to Kohli, no run, hits the good length and offers some width outside off, Kohli middles the punch-drive but can't get it past the cover fielder",27.5
"J Richardson to Kohli, no run, back of a length just outside off, bunted back to the bowler",27.4
"J Richardson to Rayudu, 1 run, steps down the track and goes through with the pull on the move, lands a few yards away from the fielder at deep backward square",27.3
"J Richardson to Kohli, 1 run, waits on the back foot and steers the back of a length delivery to third man",27.2
"J Richardson to Kohli, no run, absolutely nailed the straight drive, unfortunately for Kohli and India it went too straight and smacked the stumps at the non-striker's end",27.1
"Maxwell to Rayudu, no run, walks down the pitch and forces a punch to cover",26.6
"Maxwell to Kohli, 1 run, slower and spinning in",26.5
"Maxwell to Kohli, no run, full on leg-stump, driven back to the bowler",26.4
"Maxwell to Rayudu, 1 run, Rayudu gets down on one knee and goes for the slog sweep, shouts of catch it but it lands well short of deep mid-wicket",26.3
"Maxwell to Kohli, 1 run, floated up on the stumps, clipped away past the diving right hand of square leg",26.2
"Maxwell to Kohli, 2 runs, Kohli wants to take on Maxwell. Shows intent strightaway! Rocks back and spanks this flatter delivery through extra cover, Handscomb puts in a dive once again in the deep",26.1
"Siddle to Kohli, 1 run, shortish outside off, crunched away to sweeper cover",25.6
"Siddle to Kohli, 2 runs, half-volley at the stumps, a stylish flick from Kohli through mid-wicket. Handscomb in the deep does a good job, pulling it back and saves a couple of runs for his team",25.5
"Siddle to Rayudu, 1 run, manufactures room, takes a stride forward and runs it down to third man",25.4
"Siddle to Rayudu, no run, length delivery, keeping it closer to off. Rayudu dabs it with soft hands to point",25.3
"Siddle to Kohli, 1 run, shorter outside off, guided to third man",25.2
