Column1,Column2
"Santner to Kohli, 1 run, flighted delivery on the leg stump, Kohli drives it to long-on",19.4
"Santner to Dhawan, 1 run, very full and on the stumps, Dhawan drives it towards long-on",19.3
"Santner to Dhawan, no run, Dhawan jumps down the pitch, but Santner drops it short and forces the batsman to defend",19.2
"Santner to Dhawan, no run, driven back to the bowler",19.1
"Boult to Kohli, no run, short of length delivery outside off stump, Kohli dabs it towards the man at wide slip",18.6
"Boult to Kohli, no run, slower delivery outside off stump, Kohli leans forward and defends it towards backward point",18.5
"Boult to Dhawan, 1 run, flicked away towards deep mid-wicket",18.4
"Boult to Dhawan, no run, yorker, lovely yorker, on the stumps, Dhawan digs it out after moving his legs",18.3
"Boult to Dhawan, no run, good length delivery on the off stump, Dhawan defends",18.2
"Boult to Kohli, 1 run, way too short but not high enough to trouble Kohli, easily pulled away to deep mid-wicket, just a run though",18.1
"Santner to Dhawan, no run, shortish delivery on the leg stump, Dhawan knocks it towards mid-wicket",17.6
"Santner to Dhawan, no run, flighted delivery on the leg stump, Dhawan flicks it towards mid-wicket",17.5
"Santner to Kohli, 1 run, forward defended to the right of backward point for a quick single",17.4
"Santner to Kohli, no run, flighted delivery outside off stump, Kohli pushes it towards cover",17.3
"Santner to Kohli, no run, driven off the front foot to cover",17.2
"Santner to Kohli, no run, fullish delivery outside off stump, Kohli guides it to backward point, tried to use the pace on the ball and send it fine but found the fielder",17.1
"Doug Bracewell to Kohli, 1 run, short of length delivery on the stumps, Kohli goes back and turns it to deep backward square leg",16.6
"Doug Bracewell to Dhawan, 1 run, short of length delivery outside off stump, Dhawan punches it to sweeper-cover",16.5
"Doug Bracewell to Dhawan, wide, short and on the stumps, Dhawan lets it pass, too high according to the ump and rightly so",16.5
"Doug Bracewell to Kohli, 1 run, slower delivery on the off stump, Kohli dabs it towards third man",16.4
"Doug Bracewell to Dhawan, 1 run, good length delivery outside off stump, Dhawan cuts it square of the wicket on the off-side",16.3
"Doug Bracewell to Kohli, 1 run, tad fuller and on Kohli's pads, clipped past square leg for a single",16.2
"Doug Bracewell to Kohli, no run, short of a length and at the stumps, defended towards the on-side",16.1
"Santner to Kohli, 1 run, pushed through on off, worked away towards long-on for a single",15.6
"Santner to Kohli, FOUR, just wide of cover, nicely tossed up and might have gripped the surface a bit, drew Kohli into the drive, he didn't get it off the meat of the blade, sliced it slightly but managed to find the gap wide of Southee - who dived to his right",15.5
"Santner to Kohli, no run, tossed up on the leg-stump line, nudged towards mid-wicket",15.4
"Santner to Dhawan, 1 run, very full and just outside off, eased down towards long-off for a single",15.3
"Santner to Dhawan, wide, fraction quicker, but still sliding down leg, another extra added to the total",15.3
"Santner to Dhawan, wide, not the line KW wants his bowler to bowl, full and sliding down leg, called as a wide",15.3
"Santner to Kohli, 1 run, fraction too short from Santner, allows Kohli to go back and work it to long-on",15.2
"Santner to Kohli, no run, pushed through flatter and wider of off, Kohli was looking to cut and missed",15.1
"Lockie Ferguson to Dhawan, no run, full and on Dhawan's pads, he was a tad too late on the flick, gets an inside edge that rolls back to the bowler off his pads",14.6
"Lockie Ferguson to Dhawan, no run, short of a length and at the stumps, might have been another slower ball, Dhawan was way too early on the pull and toe-ended it back at the bowler",14.5
"Lockie Ferguson to Dhawan, 2 runs, the slower ball from Ferguson, turns out to be a gentle full-toss, Dhawan went hard on the drive and mistimed the drive towards mid-off. A poor throw from Taylor gets Dhawan another run",14.4
"Lockie Ferguson to Kohli, 1 run, short of a length and well wide of off, Kohli runs it down towards third man for a run",14.3
"Lockie Ferguson to Kohli, FOUR, lovely, simply sublime from Kohli, back of a length and well wide of off, Kohli waits on it, plays with an open face, uses the pace of Ferguson and steers it behind square on the off-side, no chance for the fielder getting across from third man",14.2
"Lockie Ferguson to Kohli, FOUR, beautifully played, Ferguson is getting predictable with his line and with the angle, short and angling across the right-hander, Kohli swivels across and nails the pull over mid-wicket",14.1
"Doug Bracewell to Dhawan, no run, back of a length and well wide of off, punched off the back-foot to cover",13.6
"Doug Bracewell to Kohli, 1 run, short and at the stumps, Kohli swivels across, rolls his wrists over and pulls it down to long leg for a single",13.5
"Doug Bracewell to Kohli, no run, the slower ball from Bracewell, bowled at 114 kmph, Kohli was through with his whip, closed the bat-face and the ball rolled to cover - off the leading edge",13.4
"Doug Bracewell to Dhawan, 1 run, too full and on Dhawan's pads, clipped past square leg for a single",13.3
"Doug Bracewell to Kohli, 1 run, back of a length and just outside off, Kohli drops it at his feet and calls his partner across for a quick single",13.2
"Doug Bracewell to Kohli, no run, on a length and just outside off, defended to the off-side",13.1
"Lockie Ferguson to Dhawan, no run, slower short ball from Ferguson, slapped straight to the fielder at cover-point",12.6
"Lockie Ferguson to Dhawan, wide, another short ball from Ferguson, too short and sailing over Dhawan's head, called as a wide for height",12.6
"Lockie Ferguson to Dhawan, no run, change of pace, Ferguson rolled his fingers across the seam, pushed towards the off-side",12.5
"Lockie Ferguson to Dhawan, wide, Ferguson isn't getting his line right, slips this one down the leg-side and it's called as a wide",12.5
"Lockie Ferguson to Kohli, 1 run, back of a length and on Kohli's pads, tucked in front of square on the on-side for a single",12.4
"Lockie Ferguson to Kohli, leg byes, FOUR, too straight from Ferguson, short of a length and on Kohli's pads, he was looking to flick and missed, brushed his pads and ran away to the long leg boundary",12.3
"Lockie Ferguson to Dhawan, 1 run, short of a length and at Dhawan's ribs, he gets inside the line and tucks it backward of square on the on-side",12.2
"Lockie Ferguson to Dhawan, FOUR, cracking shot, length delivery outside off, Dhawan leans forward and drives it on the up, through the gap at extra-cover and the ball scorches across the fast outfield",12.1
"Doug Bracewell to Kohli, no run, on a good length and just outside off, defended back at the bowler",11.6
"Doug Bracewell to Dhawan, 1 run, chance and Latham has clanged it, perhaps, should have left Guptill take the catch, but it was his call and he had the big gloves with him. Banged in short and hurried Dhawan on the pull, caught a fat top-edge towards square leg. The ball kept swirling away from the keeper and kept going away with the wind, got there in the end, but it popped out as he hit the ground",11.5
"Doug Bracewell to Kohli, 1 run, on a good length and at the stumps, Kohli uses his wrists and works it behind square on the on-side for a single",11.4
"Doug Bracewell to Dhawan, 1 run, back of a length and on Dhawan's hips, nudged behind square on the on-side for a single",11.3
"Doug Bracewell to Dhawan, no run, short of a good length and just outside off, pushed back at the bowler",11.2
"Doug Bracewell to Kohli, 1 run, on a good length and just outside off, Kohli leans forward and drives it to the right of mid-off for a single",11.1
"Lockie Ferguson to Dhawan, no run, on a good length and shaping away from outside off, drew Dhawan into an expansive drive and beat his outside edge, on the bounce to the keeper",10.6
"Lockie Ferguson to Dhawan, no run, change of pace from Ferguson, the slower ball outside off, pushed to the off-side",10.5
"Lockie Ferguson to Kohli, 1 run, Ferguson shortens his length around middle, Kohli rides the bounce and nudges it in front of mid-wicket for a single",10.4
"Lockie Ferguson to Kohli, no run, short of a length and just outside off, Kohli prods across and defends it to the off-side",10.3
"Lockie Ferguson to Kohli, no run, on a good length and angling across the right-hander, Kohli leans forward and finds cover with the drive",10.2
"Lockie Ferguson to Dhawan, 1 run, on a good length and angling into the left-hander, clipped wide of mid-wicket for a single",10.1
"Lockie Ferguson to Dhawan, wide, targets the yorker and bowls down the leg-side",10.1
"Doug Bracewell to Kohli, no run, outside off stump, left alone",9.6
"Doug Bracewell to Kohli, 2 runs, fullish delivery outside off stump, Kohli leans forward and drives it to deep extra-cover, off the mark",9.5
"Doug Bracewell to Kohli, no run, short and on the leg stump, Kohli ducks under it",9.4
"Doug Bracewell to Kohli, no run, good length delivery around the off stump, Kohli defends off the front foot",9.3
"Doug Bracewell to Rohit, out Caught by Guptill!! Perfect start for NZ after the break. Short of a length delivery outside off stump, may have just moved away a tad off the pitch, but it must be said that it was a lazy push away from the body from Rohit and he edged this straight to the lone slip fielder. Bounced extra and hit him high on the bat there. Ro looked sluggish throughout, was never a 100% with his strokes or the movement in the crease today. Rohit c Guptill b Doug Bracewell 11(24) [4s-1]",9.2
